Image,Path,Label
ISIC_0000081,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000081.jpg,0
ISIC_0000082,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000082.jpg,0
ISIC_0000085,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000085.jpg,0
ISIC_0000086,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000086.jpg,0
ISIC_0000087,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000087.jpg,0
ISIC_0000088,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000088.jpg,0
ISIC_0000089,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000089.jpg,0
ISIC_0000091,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000091.jpg,0
ISIC_0000092,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000092.jpg,0
ISIC_0000093,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000093.jpg,0
ISIC_0000094,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000094.jpg,0
ISIC_0000095,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000095.jpg,0
ISIC_0000096,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000096.jpg,0
ISIC_0000097,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000097.jpg,0
ISIC_0000098,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000098.jpg,0
ISIC_0000099,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000099.jpg,0
ISIC_0000100,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000100.jpg,0
ISIC_0000101,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000101.jpg,0
ISIC_0000102,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000102.jpg,0
ISIC_0000103,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000103.jpg,0
ISIC_0000104,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000104.jpg,0
ISIC_0000105,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000105.jpg,0
ISIC_0000107,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000107.jpg,0
ISIC_0000108,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000108.jpg,0
ISIC_0000109,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000109.jpg,0
ISIC_0000110,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000110.jpg,0
ISIC_0000111,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000111.jpg,0
ISIC_0000112,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000112.jpg,0
ISIC_0000113,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000113.jpg,0
ISIC_0000116,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000116.jpg,0
ISIC_0000118,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000118.jpg,0
ISIC_0000119,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000119.jpg,0
ISIC_0000120,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000120.jpg,0
ISIC_0000121,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000121.jpg,0
ISIC_0000122,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000122.jpg,0
ISIC_0000123,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000123.jpg,0
ISIC_0000124,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000124.jpg,0
ISIC_0000125,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000125.jpg,0
ISIC_0000126,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000126.jpg,0
ISIC_0000127,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000127.jpg,0
ISIC_0000128,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000128.jpg,0
ISIC_0000129,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000129.jpg,0
ISIC_0000130,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000130.jpg,0
ISIC_0000131,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000131.jpg,0
ISIC_0000132,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000132.jpg,0
ISIC_0000133,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000133.jpg,0
ISIC_0000134,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000134.jpg,0
ISIC_0000135,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000135.jpg,0
ISIC_0000136,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000136.jpg,0
ISIC_0000137,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000137.jpg,0
ISIC_0000138,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000138.jpg,0
ISIC_0000139,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000139.jpg,0
ISIC_0000140,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000140.jpg,0
ISIC_0000141,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000141.jpg,0
ISIC_0000142,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000142.jpg,0
ISIC_0000143,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000143.jpg,0
ISIC_0000145,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000145.jpg,0
ISIC_0000146,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000146.jpg,0
ISIC_0000147,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000147.jpg,0
ISIC_0000148,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000148.jpg,0
ISIC_0000149,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000149.jpg,0
ISIC_0000150,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000150.jpg,0
ISIC_0000151,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000151.jpg,0
ISIC_0000152,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000152.jpg,0
ISIC_0000153,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000153.jpg,0
ISIC_0000154,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000154.jpg,0
ISIC_0000155,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000155.jpg,0
ISIC_0000156,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000156.jpg,0
ISIC_0000157,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000157.jpg,0
ISIC_0000159,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000159.jpg,0
ISIC_0000160,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000160.jpg,0
ISIC_0000161,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000161.jpg,0
ISIC_0000162,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000162.jpg,0
ISIC_0000163,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000163.jpg,0
ISIC_0000164,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000164.jpg,0
ISIC_0000165,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000165.jpg,0
ISIC_0000166,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000166.jpg,0
ISIC_0000167,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000167.jpg,0
ISIC_0000169,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000169.jpg,0
ISIC_0000171,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000171.jpg,0
ISIC_0000172,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000172.jpg,0
ISIC_0000174,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000174.jpg,0
ISIC_0000176,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000176.jpg,0
ISIC_0000177,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000177.jpg,0
ISIC_0000179,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000179.jpg,0
ISIC_0000181,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000181.jpg,0
ISIC_0000182,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000182.jpg,0
ISIC_0000184,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000184.jpg,0
ISIC_0000185,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000185.jpg,0
ISIC_0000186,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000186.jpg,0
ISIC_0000188,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000188.jpg,0
ISIC_0000189,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000189.jpg,0
ISIC_0000190,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000190.jpg,0
ISIC_0000191,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000191.jpg,0
ISIC_0000192,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000192.jpg,0
ISIC_0000193,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000193.jpg,0
ISIC_0000196,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000196.jpg,0
ISIC_0000197,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000197.jpg,0
ISIC_0000198,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000198.jpg,0
ISIC_0000199,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000199.jpg,0
ISIC_0000201,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000201.jpg,0
ISIC_0000202,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000202.jpg,0
ISIC_0000203,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000203.jpg,0
ISIC_0000204,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000204.jpg,0
ISIC_0000205,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000205.jpg,0
ISIC_0000206,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000206.jpg,0
ISIC_0000207,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000207.jpg,0
ISIC_0000208,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000208.jpg,0
ISIC_0000209,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000209.jpg,0
ISIC_0000211,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000211.jpg,0
ISIC_0000212,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000212.jpg,0
ISIC_0000213,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000213.jpg,0
ISIC_0000214,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000214.jpg,0
ISIC_0000215,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000215.jpg,0
ISIC_0000216,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000216.jpg,0
ISIC_0000217,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000217.jpg,0
ISIC_0000218,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000218.jpg,0
ISIC_0000219,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000219.jpg,0
ISIC_0000220,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000220.jpg,0
ISIC_0000221,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000221.jpg,0
ISIC_0000222,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000222.jpg,0
ISIC_0000223,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000223.jpg,0
ISIC_0000224,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000224.jpg,0
ISIC_0000225,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000225.jpg,0
ISIC_0000226,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000226.jpg,0
ISIC_0000227,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000227.jpg,0
ISIC_0000229,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000229.jpg,0
ISIC_0000231,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000231.jpg,0
ISIC_0000232,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000232.jpg,0
ISIC_0000233,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000233.jpg,0
ISIC_0000234,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000234.jpg,0
ISIC_0000235,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000235.jpg,0
ISIC_0000236,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000236.jpg,0
ISIC_0000237,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000237.jpg,0
ISIC_0000239,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000239.jpg,0
ISIC_0000240,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000240.jpg,0
ISIC_0000242,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000242.jpg,0
ISIC_0000243,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000243.jpg,0
ISIC_0000244,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000244.jpg,0
ISIC_0000245,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000245.jpg,0
ISIC_0000246,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000246.jpg,0
ISIC_0000247,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000247.jpg,0
ISIC_0000250,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000250.jpg,0
ISIC_0000251,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000251.jpg,0
ISIC_0000252,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000252.jpg,0
ISIC_0000253,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000253.jpg,0
ISIC_0000254,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000254.jpg,0
ISIC_0000255,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000255.jpg,0
ISIC_0000256,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000256.jpg,0
ISIC_0000258,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000258.jpg,0
ISIC_0000259,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000259.jpg,0
ISIC_0000260,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000260.jpg,0
ISIC_0000261,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000261.jpg,0
ISIC_0000262,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000262.jpg,0
ISIC_0000263,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000263.jpg,0
ISIC_0000264,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000264.jpg,0
ISIC_0000265,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000265.jpg,0
ISIC_0000268,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000268.jpg,0
ISIC_0000269,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000269.jpg,0
ISIC_0000274,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000274.jpg,0
ISIC_0000275,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000275.jpg,0
ISIC_0000276,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000276.jpg,0
ISIC_0000277,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000277.jpg,0
ISIC_0000278,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000278.jpg,0
ISIC_0000281,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000281.jpg,0
ISIC_0000282,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000282.jpg,0
ISIC_0000283,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000283.jpg,0
ISIC_0000285,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000285.jpg,0
ISIC_0000288,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000288.jpg,0
ISIC_0000289,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000289.jpg,0
ISIC_0000290,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000290.jpg,0
ISIC_0000292,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000292.jpg,0
ISIC_0000293,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000293.jpg,0
ISIC_0000294,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000294.jpg,0
ISIC_0000295,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000295.jpg,0
ISIC_0000297,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000297.jpg,0
ISIC_0000298,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000298.jpg,0
ISIC_0000299,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000299.jpg,0
ISIC_0000300,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000300.jpg,0
ISIC_0000301,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000301.jpg,0
ISIC_0000302,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000302.jpg,0
ISIC_0000303,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000303.jpg,0
ISIC_0000306,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000306.jpg,0
ISIC_0000307,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000307.jpg,0
ISIC_0000310,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000310.jpg,0
ISIC_0000311,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000311.jpg,0
ISIC_0000313,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000313.jpg,0
ISIC_0000314,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000314.jpg,0
ISIC_0000315,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000315.jpg,0
ISIC_0000316,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000316.jpg,0
ISIC_0000317,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000317.jpg,0
ISIC_0000319,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000319.jpg,0
ISIC_0000320,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000320.jpg,0
ISIC_0000321,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000321.jpg,0
ISIC_0000322,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000322.jpg,0
ISIC_0000323,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000323.jpg,0
ISIC_0000324,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000324.jpg,0
ISIC_0000325,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000325.jpg,0
ISIC_0000326,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000326.jpg,0
ISIC_0000327,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000327.jpg,0
ISIC_0000328,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000328.jpg,0
ISIC_0000329,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000329.jpg,0
ISIC_0000330,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000330.jpg,0
ISIC_0000331,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000331.jpg,0
